PN,rating,rating_count,comment_count,name,price,CPU,RAM,RAM_upgradable,GPU,battery_wh,hard_drive,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
NH.QD9SV.001,5,1,598,Acer Nitro Gaming AN515-57-74NU/i7-11800H,28499000,Intel Core i7 - 11800H,8 GB,Yes,NVIDIA GeForce RTX 3050Ti 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
852VN,5,1,340,MSI Modern 14 B11MOU 852VN i5 1155G7/852VN,18799000,Intel Core i5 - 1155G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,IPS LCD,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5,1,116,Dell Inspiron N3511 i3 1115G4/P112F001ABL,15299000,Intel Core i3 - 1115G4,4 GB,Yes,Intel UHD Graphics,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V5I3001W,5,2,788,Dell Vostro V3500 i3 1115G4,15599000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.98,368,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80040VN,5,4,378,Lenovo IdeaPad Slim 3 15ITL6 i3 1115G4,14999000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5,1,60,Dell Inspiron N3511 i5 1135G7/P112F001BBL,19999000,Intel Core i5 - 1135G7,4 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82FG00R0VN,5,5,1244,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,18799000,Intel Core i5 - 1135G7,16 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,--,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,17.9,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
481VN,5,1,871,MSI Gaming GF63 Thin 10SC-481VN i7 10750H,22309000,Intel Core i7 - 10750H,8 GB,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,IPS LCD,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
P106F003ASL,5,1,558,Dell Inspiron N5515 R5 5500U/P106F003ASL,18999000,Intel Ryzen 5 - 5500U,8 GB,Yes,AMD Radeon RX Graphics Vega 7,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.75,356,228,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004BVN,3,2,177,Lenovo ThinkBook 14 G3 ACL R7 5700U/21A2004BVN,19999000,AMD Ryzen 7 - 5700U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253900,5,1,298,Dell Vostro V3400 i5 1135G7/70253900,18899000,Intel Core i5 - 1135G7,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.86,359,254,21.7,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
A515EA-L11970T,5,1,365,Asus Vivobook A515EA-L11970T/i5-1135G7,19999000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,OLED,1.8,359,235,--,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD9SV.002,5,4,344,Acer Nitro Gaming AN515-57-57MX/i5-11400H,26124000,Intel Core i5 - 11400H,8 GB,Yes,Nvidia Geforce RTX3050Ti 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
697VN,5,1,32,MSI Gaming Katana GF66 11UD 697VN i7 11800H,30069000,Intel Core i7 - 11800H,8 GB,Yes,NVIDIA GeForce  GTX 3050 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.1,359,--,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NK,5,1,65,Dell Inspiron N3502 N4020/NK,10999000,Intel Celeron - N4020,4 GB,Yes,Intel UHD Graphics 600,45 W,SSD 128 GB,Yes,"15.6""",1366 x 768 Pixel,60 Hz,--,1.83,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020,5,1,146,Dell Inspiron N3505 R5 3450U,17999000,AMD Ryzen 5 - 3450U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Wide-Viewing Angle (WVA),1.98,363.96,249,18 ~ 19.90,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5,1,268,Dell Inspiron N3510 Celeron N4020,10999000,Intel Celeron - N4020,4 GB,Yes,Intel UHD Graphics 600,65 W,SSD 128 GB,Yes,"15.6""",1366 x 768 Pixel,60 Hz,LED-backlit,1.65,358.5,235,0.41 ~ 15.6,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5,1,165,Dell Inspiron N3510 Pentium N5030,11699000,Intel Pentium - N5030,4 GB,Yes,Intel UHD Graphics 605,65 W,SSD 128 GB,Yes,"15.6""",1366 x 768 Pixel,60 Hz,Wide-Viewing Angle (WVA),1.65,358.5,235,18.9,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
286VN,5,2,214,MSI Gaming GF65 10UE 286VN i5 10500H,28199000,Intel Core i5 - 10500H,16 GB,Yes,NVIDIA GeForce RTX 3060 Max- Q 6GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,--,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
NH.QENSV.003,5,1,312,Acer Nitro Gaming AN515-57-54MV/i5-11400H,25174000,Intel Core i5 - 11400H,8 GB,Yes,Nvidia Geforce RTX3050 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Acer ComfyView LED-backlit,2.2,363,255,23.9,Windows 11,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
4U6M4PA,5,1,43,HP Envy 13 ba1535TU i7 1165G7/4U6M4PA,29019000,Intel Core i7 - 1165G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"13.3""",1920 x 1080 Pixel,60 Hz,--,1.23,306,194.5,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
YX51W3,5,1,30,Dell Vostro V3400 i5 1135G7/YX51W3,21329000,Intel Core i5 - 1135G7,8 GB,Yes,NVIDIA GeForce MX330 2GB,65 W,nan,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Wide-Viewing Angle (WVA),1.55,320.5,232.8,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V4R53500U003W,5,1,516,Dell Vostro V3405 R5 3500U,18499000,AMD Ryzen 5 - 3500U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.79,--,--,--,Windows 10,--,2020,Yes,Yes,Yes,Yes,Yes,Yes,No
096VN,5,1,53,MSI Gaming Katana GF76 11UC 096VN i7 11800H,29399000,Intel Core i7 - 11800H,8 GB,Yes,NVIDIA® GeForce® RTX3050 4GB,150 W,SSD 512 GB,Yes,"17.3""",1920 x 1080 Pixel,144 Hz,--,2.6,397,275,25,Windows 10,ABS plastic,--,Yes,Yes,Yes,Yes,Yes,No,No
NX.HS5SV.001,4,38,1768,Acer Aspire 3 A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,12199000,Intel Core i3 - 1005G1,4 GB,Yes,Intel UHD Graphics,--,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,LED-backlit,1.7,--,--,--,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80044VN,5,1,293,Lenovo IdeaPad Slim 3 15ITL6 i5 1135G7,17999000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82A30071VN,2,3,421,Lenovo Yoga Slim 7 14ITL05 i5 1135G7,23499000,Intel Core i5 - 1135G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.36,320.5,208.5,14.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QAYSV.004,4,5,1442,ACER Aspire Gaming A715-42G-R4ST/R5-5500U,19999000,AMD Ryzen 5 - 5500U,8 GB,Yes,GeForce GTX 1650 4G-GDDR6,130 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Acer ComfyView Anti-glare LED-backlit,2.1,363.4,254.5,22.9,Windows 10,Vỏ nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
N3501C,5,2,511,"Dell Inspiron N3501C i3 1115G4/4GB/256GB/15.6""FHD/Win 10",14999000,Intel Core i3 - 1115G4,4 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,No
46M12PA,5,1,381,HP Pavilion 15 eg0513TU i3 1125G4,14999000,Intel Core i3 - 1125G4,4 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46M08PA,5,1,273,HP Pavilion 15 eg0509TU i3 1125G4,15999000,Intel Core i3 - 1125G4,4 GB,Yes,Intel UHD Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V4R53500U001W,5,1,624,Dell Vostro V3405 R5 3500U,16499000,AMD Ryzen 5 - 3500U,4 GB,Yes,AMD Radeon Graphics Vega 8,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.7,328.7,239.5,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UX325EA-KG363T,5,3,725,Asus Zenbook UX325EA-KG363T/i5-1135G7,23299000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"13.3""",1920 x 1080 Pixel,60 Hz,OLED,1.1,304.1,203.19,13.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253899,5,1,175,Dell Vostro V3400 i3 1115G4/70253899,15899000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.64,339,242,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
P90F005,5,1,315,Dell Inspiron N3501B i5 1135G7,18999000,Intel Core i5 - 1135G7,4 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,LED Backlit,1.96,363.96,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,No
4R0U8PA,5,1,670,HP Gaming VICTUS 16 e0175AX R5 5600H/4R0U8PA,23769000,AMD Ryzen 5 - 5600H,8 GB,Yes,NVIDIA GeForce RTX 3050 4GB,200 W,SSD 512 GB,Yes,"16.1""",1920 x 1080 Pixel,144 Hz,Anti-glare Micro-edge WLED-backlit,2.46,369,262,23.5,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD8SV.001,5,2,1077,Acer Nitro Gaming AN515-57-74RD/i7-11800H,26599000,Intel Core i7 - 11800H,8 GB,Yes,Geforce RTX 3050 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QC2SV.002,5,1,68,Acer Predator Helios Gaming PH315-54-75YD/i7-11800H,37999000,Intel Core i7 - 11800H,16 GB,Yes,Nvidia Geforce RTX3060 6GB,59 W,SSD 512 GB,Yes,"15.6""",2560 x 1440 Pixel,165 Hz,LED-backlit,2.3,363,255,22.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
0WT8R1,5,1,160,Dell Inspiron N5510 i5 11300H/0WT8R1,22329000,Intel Core i5 - 11300H,8 GB,Yes,Intel Iris Plus Graphics,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,--,1.65,356,228,18,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82K100FBVN,5,1,57,Lenovo Gaming 3 15IHU6 i7 11370H/82K100FBVN,26999000,Intel Core i7 - 1130G7,8 GB,Yes,NVIDIA GeForce RTX 3050 4GB,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,IPS LCD,2.25,359,252,24.4,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
089VN,5,1,77,MSI Prestige 14EVO A11M-089VN i7-1185G7,29099000,Intel Core i7 - 1185G7,16 GB,Yes,Intel Iris Xe Graphics,90 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.29,319,219,15.9,Windows 10,Kim Loại,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
641VN,5,1,50,MSI Gaming Katana GF66 11UC 641VN i7 11800H,29099000,Intel Core i7 - 11800H,8 GB,Yes,NVIDIA GeForce RTX 3050 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.1,359,--,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
036VN,5,1,27,MSI Gaming Alpha 15 B5EEK 036VN R7 5800H/036VN,35899000,AMD Ryzen 7 - 5800H,16 GB,Yes,AMD Radeon RX 6600M 8GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.35,359,259,23.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
255VN,5,1,79,MSI Gaming Pulse GL66 11UDK 255VN i7 11800H,32999000,Intel Core i7 - 11800H,16 GB,Yes,NVIDIA® GeForce® RTX 3050 Ti 4GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,--,2.25,359,258,23.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,No
Y1N1T5,5,1,94,Dell Inspiron N3505 R5 3500U/Y1N1T5,19699000,AMD Ryzen 5 - 3500U,8 GB,Yes,AMD Radeon Graphics,48 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Truelife LED-Backlit,1.83,360,249,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
232VN,5,1,8,MSI Gaming Stealth 15M A11UEK 232VN i7 11375H,40699000,Intel Core i7 - 11370H,16 GB,Yes,NVIDIA GeForce RTX 3060 Max-Q 6GB,150 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,IPS LCD,1.7,358,248,16.1,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0SM1-M09310,5,1,263,Asus Zenbook UX425EA-KI439T/i7-1165G7,29899000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.17,319,208,13.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
