,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card,url
0,224VN,3.0,5,70,msi,Katana Gaming GF66 11UC,29990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,53.0,512.0,SSD,no,15.6,1920 x 1080,144,2.1,359.0,259.0,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gf66-11uc-i7-224vn?src=osp#top-tskt
1,816VN,0.0,0,13,msi,Gaming Pulse GL66 11UDK,33990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX3050Ti,53.5,512.0,SSD,no,15.6,1920 x 1080,144,2.25,359.0,259.0,23.95,Windows 10,Metal,yes,yes,no,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-pulse-gl66-11udk-i7-816vn?src=osp#top-tskt
2,NH.QD9SV.005,3.6,13,220,acer,Nitro 5 Gaming AN515 57 727J,29990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005?src=osp#top-tskt
3,NH.QDGSV.003,0.0,0,119,acer,Nitro 5 Gaming AN515 57 5831,32990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX 3060,57.5,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5831-i5-nhqdgsv003?src=osp#top-tskt
4,NH.QAYSV.003,4.8,23,375,acer,Aspire 7 Gaming A715 42G R6ZR,22490000.0,AMD,5500U,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,48.0,512.0,SSD,no,15.6,1920 x 1080,144,2.1,363.4,254.5,22.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r6zr-r5-nhqaysv003?src=osp#top-tskt
5,NH.QEQSV.004,0.0,0,4,acer,Nitro 5 Gaming AN515 57 720A,30490000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.5,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004?src=osp#top-tskt
6,KC-5S11130SB,0.0,0,6,gigabyte,Gaming G5,29990000.0,Intel,10500H,16.0,yes,NVIDIA GeForce RTX 3060,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-kc5s11130sb?src=osp#top-tskt
7,NH.QENSV.005,0.0,0,5,acer,Nitro 5 Gaming AN515 57 71VV,28990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-71vv-i7-nhqensv005?src=osp#top-tskt
8,441VN,0.0,0,15,msi,Katana GF76 11UC,29990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050,53.0,512.0,SSD,no,17.3,1920 x 1080,144,2.6,398.0,273.0,25.2,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-katana-gf76-11uc-i7-441vn?src=osp#top-tskt
9,254VN,0.0,0,2,msi,Gaming Stealth 15M A11UEK,41990000.0,Intel,11375H,16.0,yes,Q,52.0,512.0,SSD,no,15.6,1920 x 1080,144,1.7,358.3,248.0,16.15,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-gaming-stealth-15m-a11uek-i7-254vn?src=osp#top-tskt
10,51S1123SH,5.0,1,14,gigabyte,Gaming G5,29990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050Ti,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-md51s1123sh?src=osp#top-tskt
11,HN1138W,0.0,0,28,asus,TUF Gaming FX506HCB,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 11,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn1138w?src=osp#top-tskt
12,HN002T,1.0,1,28,asus,TUF Gaming FX516PM,32990000.0,Intel,11370H,8.0,yes,NVIDIA GeForce RTX 3060,76.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pm-i7-hn002t?src=osp#top-tskt
13,P105F004CGR,0.0,0,41,dell,Gaming G15 5515,24990000.0,AMD,5600H,8.0,yes,NVIDIA GeForce RTX3050,56.0,256.0,SSD,no,15.6,1920 x 1080,120,2.8,357.26,272.11,26.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r5-p105f004cgr?src=osp#top-tskt
14,P89F002BWH,2.3,9,154,dell,Gaming G3 15,31990000.0,Intel,10750H,16.0,yes,NVIDIA GeForce GTX 1660Ti,68.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.58,364.46,254.0,30.96,Windows 10,Plastic,yes,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-g3-15-i7-p89f002bwh?src=osp#top-tskt
15,HN005T,5.0,5,70,asus,TUF Gaming FX516PE,29990000.0,Intel,11370H,8.0,yes,NVIDIA GeForce RTX3050Ti,76.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pe-i7-hn005t?src=osp#top-tskt
16,P105F004DGR,0.0,0,8,dell,Gaming G15 5515,27990000.0,AMD,5600H,16.0,yes,NVIDIA GeForce RTX3050,56.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.8,357.26,272.11,26.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r5-p105f004dgr?src=osp#top-tskt
17,259VN,0.0,0,17,msi,Gaming GE66 Raider 11UH,77990000.0,Intel,11800H,32.0,yes,NVIDIA GeForce RTX 3080,99.9,2048.0,SSD,yes,15.6,2560 x 1440,240,2.38,358.0,267.0,23.4,Windows 10,Metal,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11uh-i7-259vn?src=osp#top-tskt
18,NH.QDSSV.001,0.0,0,25,acer,Predator Triton 300 PT315 53 71DJ,50990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3070,59.0,512.0,SSD,yes,15.6,2560 x 1440,165,2.0,353.0,255.0,19.9,Windows 10,Metal,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-predator-triton-300-pt315-53-71dj-i7?src=osp#top-tskt
23,219VN,0.0,0,20,msi,Gaming GS66 Stealth 11UG,64990000.0,Intel,11800H,32.0,yes,NVIDIA GeForce RTX 3070 Max-Q,99.9,2048.0,SSD,yes,15.6,1920 x 1080,360,2.1,358.3,248.0,19.8,Windows 10,Metal,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-gs66-stealth-11ug-i7-219vn?src=osp#top-tskt
24,258VN,0.0,0,15,msi,Gaming GE66 Raider 11UG,59990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3070,99.9,2048.0,SSD,yes,15.6,1920 x 1080,360,2.38,358.0,267.0,23.4,Windows 10,Metal,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11ug-i7-258vn?src=osp#top-tskt
25,JGNH62,0.0,0,17,dell,XPS 13 9310,59990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,,512.0,SSD,no,13.4,3840 x 2400,60,1.27,297.0,207.0,14.35,Windows 10,Metal,yes,no,yes,no,yes,no,yes,https://www.thegioididong.com/laptop/dell-xps-13-9310-i7-jgnh62?src=osp#top-tskt
26,26Y68PA,0.0,0,53,hp,Omen 15 ek0078TX,56990000.0,Intel,10750H,16.0,yes,Q Design,70.9,1024.0,SSD,yes,15.6,1920 x 1080,300,2.36,357.9,239.7,22.5,Windows 10,Carbon,yes,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/hp-omen-15-ek0078tx-i7-26y68pa?src=osp#top-tskt
28,17Z90P-G.AH78A5,0.0,0,7,lg,Gram 17 2021,54890000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,80.0,1024.0,SSD,yes,17.0,2560 x 1600,60,1.35,380.2,260.1,17.8,Windows 10,"Carbon, Magnesium",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah78a5?src=osp#top-tskt
29,435VN,0.0,0,45,msi,Gaming Leopard GP76 11UG,52990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3070,65.0,1024.0,SSD,yes,17.3,1920 x 1080,240,2.9,397.0,284.0,25.9,Windows 10,Metal,yes,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/msi-gp76-11ug-i7-435vn?src=osp#top-tskt
30,823VN,0.0,0,0,msi,Gaming Leopard GP76 11UG,52990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3070,65.0,1024.0,SSD,yes,17.3,1920 x 1080,300,2.9,397.0,284.0,25.9,Windows 10,Metal,yes,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/msi-gaming-leopard-gp76-11ug-i7-823vn?src=osp#top-tskt
31,17Z90P-G.AH76A5,0.0,0,0,lg,Gram 17 2021,52890000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,80.0,512.0,SSD,yes,17.0,2560 x 1600,60,1.35,380.2,260.1,17.8,Windows 10,"Carbon, Magnesium",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah76a5?src=osp#top-tskt
32,16Z90P-G.AH75A5,0.0,0,7,lg,Gram 16 2021,50890000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,80.0,512.0,SSD,yes,16.0,2560 x 1600,60,1.19,355.9,243.4,16.8,Windows 10,"Carbon, Magnesium",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah75a5?src=osp#top-tskt
33,Z11C000CJ,0.0,0,69,apple,MacBook Pro M1 2020,52990000.0,Apple,,16.0,no,8 nhân GPU,,1024.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-pro-m1-2020-z11c000cj?src=osp#top-tskt
34,82BG006EVN,2.0,1,30,lenovo,Yoga 9 14ITL5,46990000.0,Intel,1185G7,16.0,no,Intel Iris Xe Graphics,60.0,1024.0,SSD,no,14.0,3840 x 2160,60,1.37,319.4,216.4,15.7,Windows 10,Metal,yes,no,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-yoga-9-14itl5-i7-82bg006evn?src=osp#top-tskt
35,16Z90P-G.AH73A5,0.0,0,3,lg,Gram 16 2021,48890000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,80.0,256.0,SSD,yes,16.0,2560 x 1600,60,1.19,355.9,243.4,16.8,Windows 10,"Carbon, Magnesium",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah73a5?src=osp#top-tskt
36,14Z90P-G.AH75A5,0.0,0,6,lg,Gram 14 2021,47890000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,72.0,512.0,SSD,yes,14.0,1920 x 1200,60,0.999,313.4,215.2,16.8,Windows 10,"Carbon, Magnesium",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lg-gram-14-i7-14z90pgah75a5?src=osp#top-tskt
37,082VN,0.0,0,17,msi,Summit E16 Flip,46990000.0,Intel,1195G7,16.0,no,NVIDIA GeForce RTX3050,82.0,1024.0,SSD,no,16.0,2560 x 1600,120,1.9,358.2,258.5,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-summit-e16-flip-i7-082vn?src=osp#top-tskt
38,K2064T,0.0,0,34,asus,ROG Zephyrus G14 Alan Walker GA401QEC,49990000.0,AMD,5900HS,16.0,yes,NVIDIA GeForce RTX3050Ti,76.0,1024.0,SSD,no,14.0,2560 x 1440,120,1.7,324.0,220.0,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-rog-zephyrus-gaming-g14-ga401qec-r9-k2064t?src=osp#top-tskt
39,HL725WS,0.0,0,0,asus,ZenBook UX371EA,41990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,67.0,1024.0,SSD,no,13.3,3840 x 2160,60,1.2,305.0,211.0,13.9,Windows 11,Metal,yes,yes,no,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-zenbook-ux371ea-i7-hl725ws?src=osp#top-tskt
40,NH.QDQSV.001,5.0,1,32,acer,Predator Triton 300 PT315 53 75LQ,44990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3060,59.0,512.0,SSD,yes,15.6,2560 x 1440,165,2.0,353.0,255.0,19.9,Windows 10,Metal,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-predator-triton-300-pt315-53-75lq-i7?src=osp#top-tskt
41,275W0AV,0.0,0,0,hp,ZBook Firefly 14 G8,41590000.0,Intel,1165G7,16.0,yes,NVIDIA QuadroT500,53.0,1024.0,SSD,no,14.0,1920 x 1080,60,1.35,323.0,214.6,17.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/hp-zbook-firefly-14-g8-i7-275w0av?src=osp#top-tskt
42,3G1A4PA,0.0,0,50,hp,EliteBook X360 830 G8,41290000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,53.0,512.0,SSD,no,13.3,1920 x 1080,60,1.476,307.6,205.0,17.8,Windows 10,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/hp-elitebook-x360-830-g8-i7-3g1a4pa?src=osp#top-tskt
43,Z11C,4.7,18,244,apple,MacBook Pro M1 2020,44990000.0,Apple,,16.0,no,8 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-z11c?src=osp#top-tskt
44,HL494TS,0.0,0,9,asus,ZenBook UX371EA,41990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,67.0,1024.0,SSD,no,13.3,3840 x 2160,60,1.2,305.0,211.0,13.9,Windows 10,Metal,yes,yes,no,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-zenbook-ux371ea-i7-hl494ts?src=osp#top-tskt
45,211VN,0.0,0,28,msi,Summit E13 Flip,39990000.0,Intel,1185G7,16.0,no,Intel Iris Xe Graphics,70.0,1024.0,SSD,no,13.4,1920 x 1200,60,1.35,300.2,222.25,14.9,Windows 10,Metal,yes,no,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-summit-e13-flip-i7-211vn?src=osp#top-tskt
46,KA111T,0.0,0,27,asus,ZenBook Duo UX482EA,39990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,70.0,1024.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-ux482ea-i7-ka111t?src=osp#top-tskt
47,KA268T,0.0,0,8,asus,ZenBook Duo UX482EA,39990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,70.0,1024.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-duo-ux482ea-i7-ka268t?src=osp#top-tskt
48,NH.QC2SV.002,5.0,1,108,acer,Predator Helios PH315 54 75YD,39990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX 3060,59.0,512.0,SSD,yes,15.6,2560 x 1440,165,2.3,363.0,255.0,22.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-predator-helios-ph315-54-75yd-i7-nhqc2sv002?src=osp#top-tskt
49,Z11D000E5,5.0,1,78,apple,MacBook Pro,39990000.0,Apple,,16.0,no,8 nhân GPU,,256.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-pro-m1-2020-z11b000ct?src=osp#top-tskt
50,MYD92SA/A,0.0,0,148,apple,MacBook Pro M1 2020,39990000.0,Apple,,8.0,no,8 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-myd92saa?src=osp#top-tskt
51,Z12A00050,0.0,0,73,apple,MacBook Air M1 2020,39490000.0,Apple,,16.0,no,7 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-air-m1-2020-z12a00050?src=osp#top-tskt
52,2K0B7PA,0.0,0,57,hp,Envy 13 ba1031TU,33690000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,51.0,1024.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 10,Metal,yes,no,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/hp-envy-13-ba1031tu-i7-2k0b7pa?src=osp#top-tskt
53,70258051,0.0,0,45,dell,Gaming G15 5515,33390000.0,AMD,5800H,16.0,yes,NVIDIA GeForce RTX3050Ti,56.0,512.0,SSD,no,15.6,1920 x 1080,120,2.81,357.2,272.1,26.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r7-70258051?src=osp#top-tskt
54,052VN,0.0,0,0,msi,Prestige 15 A11SC,34990000.0,Intel,1185G7,16.0,yes,Q,82.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.69,356.8,233.7,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-prestige-15-a11sc-i7-052vn?src=osp#top-tskt
55,82EV0017VN,3.0,6,81,lenovo,YOGA Slim 7 Carbon 13ITL5,32740000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,50.0,1024.0,SSD,no,13.3,2560 x 1600,60,0.966,295.88,208.85,15.0,Windows 10,"Aluminum, Carbon, Magnesium",yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i7-82ev0017vn?src=osp#top-tskt
56,NH.QC5SV.001,2.0,1,181,acer,Predator Helios PH315 54 78W5,33990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,363.0,255.0,22.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-predator-helios-ph315-54-78w5-i7-nhqc5sv001?src=osp#top-tskt
57,P89F002G3500B,0.0,0,35,dell,Gaming G3,31990000.0,Intel,10750H,16.0,yes,NVIDIA GeForce GTX 1660Ti,68.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.58,364.46,254.0,30.96,Windows 10,Plastic,yes,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-gaming-g3500b-i7-p89f002g3500b?src=osp#top-tskt
58,HP163T,0.0,0,48,asus,ZenBook Flip UX363EA,33990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,13.3,1920 x 1080,60,1.3,305.0,211.0,11.9,Windows 10,Metal,yes,yes,no,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i7-hp163t?src=osp#top-tskt
59,228VN,4.5,4,84,msi,Gaming GF65 10UE,32490000.0,Intel,10750H,16.0,yes,Q,51.0,512.0,SSD,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gf65-10ue-i7-228vn?src=osp#top-tskt
60,HN023T,0.0,0,294,asus,TUF Gaming FX516PM,32990000.0,Intel,11370H,16.0,yes,NVIDIA GeForce RTX 3060,76.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.0,360.0,252.0,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pm-i7-hn023t?src=osp#top-tskt
61,HX011T,5.0,6,65,asus,TUF Gaming FX706HE,31990000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,48.0,512.0,SSD,yes,17.3,1920 x 1080,144,2.6,399.0,269.0,23.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706he-i7-hx011t?src=osp#top-tskt
62,70258049,0.0,0,26,dell,Gaming G15 5515,30990000.0,AMD,5800H,8.0,yes,NVIDIA GeForce RTX3050,56.0,512.0,SSD,no,15.6,1920 x 1080,120,2.81,357.2,272.1,26.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r7-70258049?src=osp#top-tskt
63,KA274T,0.0,0,1,asus,ZenBook Duo UX482EA,32990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,70.0,512.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-ux482ea-i5-ka274t?src=osp#top-tskt
