,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card,url
123,480VN,3.3,35,612,msi,Gaming GF63 Thin 10SC,22990000.0,Intel,10750H,8.0,yes,Q Design,51.0,512.0,SSD,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-10sc-i7-480vn?src=osp#top-tskt
124,82L30094VN,0.0,0,112,lenovo,Ideapad 5 Pro 14ITL6,23490000.0,Intel,1135G7,8.0,no,NVIDIA GeForce MX450,56.5,512.0,SSD,no,14.0,2240x1400,60,1.41,312.2,221.0,17.99,Windows 10,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14itl6-i5-82l30094vn?src=osp#top-tskt
125,70253901,3.9,40,722,dell,Vostro 5510,22990000.0,Intel,11300H,8.0,yes,Intel Iris Xe Graphics,54.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.75,356.0,228.0,17.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-5510-i5-70253901?src=osp#top-tskt
126,70267060,0.0,0,9,dell,Inspiron 15 3511,22990000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX350,41.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.73,359.0,235.5,19.0,Windows 10,Plastic,no,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i5-70267060?src=osp#top-tskt
127,0WT8R1,3.5,4,211,dell,Inspiron 15 5510,22990000.0,Intel,11300H,8.0,yes,Intel Iris Xe Graphics,54.0,256.0,SSD,no,15.6,1920 x 1080,60,1.75,356.0,228.0,17.9,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-5510-i5-0wt8r1?src=osp#top-tskt
128,70253897,3.0,2,129,dell,Inspiron 3501,22490000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.91,363.96,249.0,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-3501-i5-70253897?src=osp#top-tskt
129,82FE00KNVN,5.0,6,122,lenovo,IdeaPad 5 14ITL05,22990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,44.5,512.0,SSD,no,14.0,1920 x 1080,60,1.39,321.57,211.59,19.9,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14itl05-i7-82fe00knvn?src=osp#top-tskt
130,HN002T,3.9,94,1717,asus,TUF Gaming FX506LH,21990000.0,Intel,10300H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-uf-gaming-fx506lh-i5-hn002t?src=osp#top-tskt
131,847VN,0.0,0,93,msi,Modern 14 B11MOU,21990000.0,Intel,1195G7,8.0,yes,Intel Iris Xe Graphics,39.0,512.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-modern-14-b11mou-i7-847vn?src=osp#top-tskt
132,YX51W3,5.0,2,18,dell,Vostro 3400,21990000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3400-i5-yx51w3?src=osp#top-tskt
133,81Y4013VVN,3.5,36,595,lenovo,IdeaPad Gaming 3 15IMH05,22990000.0,Intel,10300H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,45.0,512.0,SSD,yes,15.6,1920 x 1080,120,2.2,351.0,240.0,24.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15imh05-i5-81y4013vvn?src=osp#top-tskt
134,V4R55500U015W,0.0,0,40,dell,Vostro 5415,21190000.0,AMD,5500U,8.0,yes,AMD Radeon Graphics,54.0,512.0,SSD,no,14.0,1920 x 1080,60,1.44,321.2,212.8,17.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-5415-r5-v4r55500u015w?src=osp#top-tskt
135,46M24PA,0.0,0,25,hp,15s fq2556TU,20290000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.592,358.5,242.0,18.0,Windows 11,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2556tu-i7-1165g7-46m24pa?src=osp#top-tskt
136,7G3983,3.7,38,248,dell,Vostro 3500,20990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.98,364.0,249.0,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3500-i5-7g3983?src=osp#top-tskt
137,7T2YC1,0.0,0,4,dell,Vostro 3510,20990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,no,15.6,1920 x 1080,60,1.69,358.5,235.5,18.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3510-i5-7t2yc1?src=osp#top-tskt
138,V4I5003W,4.0,22,523,dell,Vostro 5402,20990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,40.0,256.0,SSD,no,14.0,1920 x 1080,60,1.41,321.3,216.2,17.9,Windows 10,Metal,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-5402-i5-v4i5003w?src=osp#top-tskt
139,BN334T,2.9,23,724,asus,VivoBook A515EP,20790000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ep-i5-bn334?src=osp#top-tskt
140,BN544T,5.0,1,219,asus,VivoBook  A515EP,20790000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ep-i5-bn544t?src=osp#top-tskt
141,20VD003KVN,3.6,13,187,lenovo,ThinkBook 14 G2 ITL,20390000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,45.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.4,323.0,218.0,17.9,Windows 10,Metal,no,yes,no,yes,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g2-itl-i5-20vd003kvn?src=osp#top-tskt
142,46M26PA,0.0,0,2,hp,15s fq2558TU,19290000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,yes,15.6,1366 x 768,60,1.7,358.5,242.0,18.0,Windows 11,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2558tu-i7-46m26pa-win11?src=osp#top-tskt
143,P112F001BBL,2.6,10,90,dell,Inspiron 15 3511,19990000.0,Intel,1135G7,4.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.7,358.5,235.5,18.9,Windows 10,Plastic,no,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i5-p112f001bbl?src=osp#top-tskt
144,NH.QAYSV.004,4.1,131,2206,acer,Aspire 7 Gaming A715 42G R4ST,19990000.0,AMD,5500U,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,48.0,256.0,SSD,no,15.6,1920 x 1080,60,2.1,363.4,254.5,22.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-aspire-7-a715-42g-r4st-r5-nhqaysv004?src=osp#top-tskt
145,NX.A2ASV.006,3.0,40,357,acer,Aspire A514 54 53T8,19990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,48.0,1024.0,SSD,yes,14.0,1920 x 1080,60,1.46,328.0,223.0,17.95,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-aspire-a514-54-53t8-i5-nxa2asv006?src=osp#top-tskt
146,L12032T,3.5,5,176,asus,VivoBook A515EA OLED,19990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-i5-l12032t?src=osp#top-tskt
147,L11169T,2.7,27,482,asus,VivoBook A515EA,19990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-i5-l11169t?src=osp#top-tskt
148,L12032W,0.0,0,24,asus,VivoBook A515EA OLED,19990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 11,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-oled-i5-l12032w?src=osp#top-tskt
149,36A35PA,3.8,30,397,hp,340s G7,18090000.0,Intel,1035G1,8.0,yes,Intel UHD Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.38,324.0,225.0,17.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-340s-g7-i5-36a35pa?src=osp#top-tskt
150,518V7PA,3.0,5,140,hp,240 G8,18090000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.426,324.0,225.9,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/hp-240-g8-i5-518v7pa?src=osp#top-tskt
151,680VN,4.2,67,1150,msi,Modern 15 A11MU,18990000.0,Intel,1155G7,8.0,yes,Intel Iris Xe Graphics,52.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.6,356.8,233.75,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-modern-15-a11mu-i5-680vn?src=osp#top-tskt
152,P90F005N3501B,2.7,24,479,dell,Inspiron 3501,18990000.0,Intel,1135G7,4.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,no,15.6,1920 x 1080,60,1.96,363.96,249.0,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-3501-i5-n3501b?src=osp#top-tskt
153,46M27PA,3.6,72,974,hp,15s fq2559TU,17990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.592,358.5,242.0,18.0,Windows 10,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2559tu-i5-46m27pa?src=osp#top-tskt
154,46M27PA,0.0,0,12,hp,15s fq2559TU,18190000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.592,358.5,242.0,18.0,Windows 11,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2559tu-i5-1135g7-46m27pa?src=osp#top-tskt
155,70253900,3.6,21,536,dell,Vostro 3400,18890000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3400-i5-70253900?src=osp#top-tskt
156,46M06PA,4.2,165,1791,hp,Pavilion 15 eg0507TU,17790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,256.0,SSD,no,15.6,1920 x 1080,60,1.682,360.2,234.0,17.9,Windows 10,Metal,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-pavilion-15-eg0507tu-i5-46m06pa?src=osp#top-tskt
157,BQ186T,3.3,6,423,asus,VivoBook X515EP,18990000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,37.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,360.2,234.9,19.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x515ep-i5-1135g7-8gb-512gb?src=osp#top-tskt
158,V4R53500U003W,3.3,13,363,dell,Vostro 3405,18490000.0,AMD,3500U,8.0,yes,AMD Radeon Vega 8 Graphics,42.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.7,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3405-r5-v4r53500u003w?src=osp#top-tskt
159,518V6PA,4.0,8,241,hp,240 G8,17090000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.426,324.0,225.9,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/hp-240-g8-i5-518v6pa?src=osp#top-tskt
160,46M29PA,0.0,0,40,hp,15s fq2561TU,16990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,yes,15.6,1366 x 768,60,1.7,358.5,242.0,18.0,Windows 11,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2561tu-i5-1135g7-46m29pa?src=osp#top-tskt
161,EB637W,0.0,0,19,asus,VivoBook X415EA,17790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,37.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 11,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637w?src=osp#top-tskt
162,EB637T,4.2,109,1197,asus,VivoBook X415EA,17590000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,37.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i5-eb637t?src=osp#top-tskt
163,4B6D3PA,0.0,0,107,hp,15s fq2602TU,15790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,256.0,SSD,yes,15.6,1366 x 768,60,1.7,358.5,242.0,18.0,Windows 11,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-15s-fq2602tu-i5-4b6d3pa?src=osp#top-tskt
164,V4R53500U001W,4.7,4,393,dell,Vostro 3405,16490000.0,AMD,3500U,4.0,yes,AMD Radeon Vega 8 Graphics,42.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.7,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3405-r5-v4r53500u001w?src=osp#top-tskt
165,BN1624T,4.0,9,124,asus,VivoBook A515EA,16490000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-i3-bn1624t?src=osp#top-tskt
166,51X01PA,0.0,0,3,hp,Probook 440 G8,15390000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,45.0,512.0,SSD,no,14.0,1366 x 768,60,1.38,321.9,213.9,19.9,Windows 10,Plastic,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/hp-probook-440-g8-i3-51x01pa?src=osp#top-tskt
167,70270644,0.0,0,11,dell,Vostro 3400,15890000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,42.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 11,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70270644?src=osp#top-tskt
168,70253899,1.5,5,171,dell,Vostro 3400,15690000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,42.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70253899?src=osp#top-tskt
169,4P5G9PA,4.1,24,296,hp,Pavilion 15 eg0542TU,14890000.0,Intel,1125G4,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,no,15.6,1920 x 1080,60,1.682,360.2,234.0,17.9,Windows 11,Metal,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-pavilion-15-eg0542tu-i3-4p5g9pa?src=osp#top-tskt
170,53Y22PA,0.0,0,9,hp,245 G8,14990000.0,AMD,5500U,4.0,yes,AMD Radeon Graphics,41.0,256.0,SSD,no,14.0,1920 x 1080,60,1.47,324.0,225.9,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/hp-245-g8-r5-53y22pa?src=osp#top-tskt
171,2H0N5PA,0.0,0,131,hp,ProBook 430 G8,14590000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,45.0,256.0,SSD,no,13.3,1366 x 768,60,1.28,306.9,208.4,15.9,Windows 10,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-probook-430-g8-i3-2h0n5pa?src=osp#top-tskt
172,P112F001ABL,3.7,18,206,dell,Inspiron 15 3511,15290000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,yes,15.6,1920 x 1080,60,1.7,358.5,235.5,18.9,Windows 10,Plastic,no,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i3-p112f001abl?src=osp#top-tskt
173,P90F005N3501C,3.3,10,730,dell,Inspiron 3501,14990000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,42.0,256.0,SSD,no,15.6,1920 x 1080,60,1.96,363.96,249.0,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-3501-i3-n3501c?src=osp#top-tskt
174,813VN,3.9,149,3424,msi,Modern 14 B11MOL,14690000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,39.0,256.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,18.1,Windows 10,Metal,yes,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/msi-modern-14-b11mol-i3-813vn?src=osp#top-tskt
175,224L1PA,2.6,36,443,hp,340s G7,13890000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.346,324.0,225.0,17.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-340s-g7-i3-224l1pa?src=osp#top-tskt
176,EB638T,4.0,78,765,asus,VivoBook X415EA,14690000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,37.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-eb638t?src=osp#top-tskt
177,BQ1415W,0.0,0,39,asus,VivoBook X515EA,14690000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,37.0,256.0,SSD,yes,15.6,1920 x 1080,60,1.8,360.0,235.0,19.9,Windows 11,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-bq1415w?src=osp#top-tskt
178,EB638W,0.0,0,9,asus,VivoBook X415EA,14690000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,37.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 11,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-eb638w?src=osp#top-tskt
179,519A8PA,0.0,0,59,hp,240 G8,13590000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.47,324.0,225.9,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/hp-240-g8-i3-519a8pa?src=osp#top-tskt
180,849VN,4.0,20,393,msi,Modern 14 B11MOU,14190000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,39.0,256.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,18.1,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-modern-14-b11mou-i3-849vn?src=osp#top-tskt
181,BQ994T,3.8,126,1476,asus,VivoBook X515EA,13890000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,37.0,256.0,SSD,yes,15.6,1920 x 1080,60,1.8,360.2,234.9,19.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-bq994t?src=osp#top-tskt
182,240Q4PA,3.4,17,530,hp,340s G7,12990000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,no,14.0,1920 x 1080,60,1.38,324.0,225.0,17.9,Windows 10,Plastic,no,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/hp-340s-g7-i3-240q4pa?src=osp#top-tskt
183,81WA00HPVN,3.4,40,561,lenovo,Ideapad 3 14IML05,13790000.0,Intel,10110U,8.0,yes,Intel UHD Graphics,35.0,256.0,SSD,yes,14.0,1920 x 1080,60,1.5,327.1,241.0,19.9,Windows 10,Plastic,no,yes,yes,no,no,yes,yes,https://www.thegioididong.com/laptop/lenovo-ideapad-3-14iml05-i3-81wa00hpvn?src=osp#top-tskt
184,519A7PA,3.7,7,160,hp,240 G8,12690000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,no,14.0,1920 x 1080,60,1.47,324.0,225.9,19.9,Windows 10,Plastic,no,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/hp-240-g8-i3-519a7pa?src=osp#top-tskt
185,NX.HS5SV.00C,3.8,59,947,acer,Aspire A315 56 308N,11990000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,36.7,256.0,SSD,yes,15.6,1920 x 1080,60,1.7,363.4,247.5,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,no,https://www.thegioididong.com/laptop/acer-aspire-a315-56-308n-i3-nxhs5sv00c?src=osp#top-tskt
