,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
84,20WE004EVN,0.0,0,31,Lenovo,ThinkBook 14s Yoga ITL,27890000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,60.0,,,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
85,NX.H7HSV.002,0.0,0,101,Acer,Swift 5 SF514 53T 720R,27690000.0,Intel,8565U,8.0,no,Intel UHD Graphics 620,,256.0,SSD,no,14.0,1920 x 1080,60,0.94,329.0,228.0,14.9,Windows 10,"Aluminum, Magnesium",2018,yes,yes,yes,no,yes,yes,no
86,82A300DQVN,0.0,0,0,Lenovo,Yoga Slim 7 14ITL05,27490000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
87,NH.QD8SV.003,3.8,23,308,Acer,Nitro 5 Gaming AN515 57 50FT,27290000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
88,51S1121SH,0.0,0,19,Gigabyte,Gaming G5,26990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,41.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,361.0,258.0,24.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
89,82AS007BVN,3.5,8,71,Lenovo,Yoga Duet 7 13IML05,26590000.0,Intel,10210U,8.0,no,Intel UHD Graphics,42.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,2020,yes,no,yes,no,yes,no,yes
90,HX003T,3.3,19,140,Asus,TUF Gaming FX706HC,26990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,17.3,1920 x 1080,144,2.6,399.0,269.0,23.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
91,V4I7015W,3.0,3,125,Dell,Vostro 3400,25990000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,2020,no,yes,no,yes,yes,yes,yes
92,81Y4013UVN,4.0,12,231,Lenovo,Ideapad Gaming 3 15IMH05,25990000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,45.0,,,yes,15.6,1920 x 1080,120,2.2,359.0,249.6,24.9,Windows 10,Plastic,2020,yes,yes,yes,yes,yes,yes,no
93,NH.QBZSV.005,3.8,13,316,Acer,Nitro 5 Gaming AN515 56 5256,25790000.0,Intel,11300H,16.0,yes,NVIDIA GeForce GTX 1650 4 GB,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
94,NH.QD8SV.002,0.0,0,410,Acer,Nitro 5 AN515 57 51G6,25790000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
95,82BH00CJVN,5.0,0,63,Lenovo,Yoga 7 14ITL5,25590000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,71.0,512.0,SSD,no,14.0,1920 x 1080,60,1.43,320.4,214.6,17.7,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,no
96,HN139T,3.5,8,129,Asus,TUF Gaming FX506HCB,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,,,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
97,HN002T,5.0,8,303,Asus,TUF Gaming FX506HC,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",2020,yes,yes,yes,yes,yes,yes,no
98,083VN,0.0,0,63,MSI,Gaming Bravo 15 B5DD,24990000.0,AMD,5800H,8.0,yes,AMD Radeon RX 5500M,52.0,,,no,15.6,1920 x 1080,144,2.35,359.0,259.0,24.95,Windows 10,Plastic,2021,yes,yes,yes,yes,no,yes,no
99,20VA000MVN,0.0,0,133,Lenovo,ThinkBook 14s G2 ITL,24990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,2020,yes,yes,yes,no,yes,yes,no
100,20WE004CVN,0.0,0,159,Lenovo,ThinkBook 14s Yoga ITL,24790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,60.0,,,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
101,70251593,0.0,0,114,Dell,Latitude 3520,24690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,yes,15.6,1920 x 1080,60,1.79,361.0,240.9,18.0,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
102,70253898,3.0,2,139,Dell,Inspiron 3501,24590000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,15.6,1920 x 1080,60,1.91,363.96,249.0,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,no,yes,yes
103,2K0B1PA,0.0,0,235,HP,Envy 13 ba1027TU,24290000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,51.0,256.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,yes
104,70262927,0.0,0,8,Dell,Inspiron 14 5410,23990000.0,Intel,1155G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.65,321.0,211.0,18.0,Windows 10,"Metal, Plastic",2021,yes,yes,yes,no,yes,yes,yes
105,81Y40068VN,4.4,15,238,Lenovo,IdeaPad Gaming 3 15IMH05,23990000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,45.0,,,yes,15.6,1920 x 1080,60,2.2,351.0,240.0,23.0,Windows 10,Plastic,2020,yes,yes,yes,yes,yes,yes,no
106,4U6M5PA,0.0,0,76,HP,Envy 13 ba1536TU,23790000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,51.0,512.0,SSD,no,13.3,1920 x 1080,60,1.3,306.5,194.6,16.9,Windows 10,Metal,2021,yes,no,yes,no,yes,yes,yes
107,20VA000NVN,2.7,12,136,Lenovo,ThinkBook 14s G2 ITL,23690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,2020,yes,yes,yes,no,yes,yes,no
108,82A300DPVN,0.0,0,8,Lenovo,Yoga Slim 7 14ITL05,23590000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
109,HN015T,0.0,0,4,Asus,ROG Strix Gaming G15 G513IH,23490000.0,AMD,4800H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,56.0,,,yes,15.6,1920 x 1080,144,2.1,354.0,259.0,206.0,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
110,068VN,4.7,14,249,MSI,GF75 Thin 10SCXR,23490000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,51.0,,,yes,17.3,1920 x 1080,144,2.2,397.0,260.0,23.1,Windows 10,Plastic,2021,yes,yes,no,yes,yes,yes,no
111,KI429T,2.9,37,600,Asus,ZenBook UX425EA,23490000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,14.0,1920 x 1080,60,1.17,319.0,208.0,13.9,Windows 10,Metal,2020,yes,yes,no,no,yes,yes,yes
112,82L30094VN,0.0,0,29,Lenovo,Ideapad 5 Pro 14ITL6,23090000.0,Intel,1135G7,8.0,no,NVIDIA GeForce MX450,56.5,512.0,SSD,no,14.0,2240x1400,60,1.41,312.2,221.0,17.99,Windows 10,Metal,2021,yes,yes,no,no,yes,yes,yes
113,669VN,0.0,0,24,MSI,Gaming Modern 14 B11SBU,22990000.0,Intel,1155G7,8.0,yes,NVIDIA GeForce MX450,39.0,512.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
114,480VN,3.2,27,437,MSI,Gaming GF63 Thin 10SC,22990000.0,Intel,10750H,8.0,yes,GeForce GTX 1650 Max-Q Design,51.0,,,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
115,70253901,3.9,38,570,Dell,Vostro 5510,22990000.0,Intel,11300H,8.0,yes,Intel Iris Xe Graphics,54.0,,,yes,15.6,1920 x 1080,60,1.75,356.0,228.0,17.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,yes
116,0WT8R1,0.0,0,143,Dell,Inspiron 15 5510,22990000.0,Intel,11300H,8.0,yes,Intel Iris Xe Graphics,54.0,256.0,SSD,no,15.6,1920 x 1080,60,1.75,356.0,228.0,17.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,no,yes,yes,yes
117,46M00PA,0.0,0,97,HP,Pavilion 15 eg0504TU,22690000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,no,15.6,1920 x 1080,60,1.685,360.2,234.0,17.9,Windows 11,Metal,2021,no,yes,yes,no,yes,yes,yes
118,82FE00KNVN,5.0,6,102,Lenovo,IdeaPad 5 14ITL05,22490000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,44.5,,,no,14.0,1920 x 1080,60,1.39,321.57,211.59,19.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,no,yes,yes,yes
119,70253897,0.0,0,98,Dell,Inspiron 3501,22490000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,15.6,1920 x 1080,60,1.91,363.96,249.0,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,no,yes,yes
120,NH.QAYSV.003,5.0,7,235,Acer,Aspire 7 Gaming A715 42G R6ZR,22490000.0,AMD,5500U,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,48.0,512.0,SSD,no,15.6,1920 x 1080,144,2.1,363.4,254.5,22.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
121,847VN,0.0,0,19,MSI,Modern 14 B11MOU,21990000.0,Intel,1195G7,8.0,yes,Intel Iris Xe Graphics,39.0,512.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
122,YX51W3,5.0,1,12,Dell,Vostro 3400,21990000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,yes
123,084VN,0.0,0,157,MSI,Gaming Bravo 15 B5DD,21990000.0,AMD,5600H,8.0,yes,AMD Radeon RX 5500M,52.0,,,no,15.6,1920 x 1080,144,2.35,359.0,259.0,24.95,Windows 10,Plastic,2021,yes,yes,yes,yes,no,yes,no
124,P90F006CBL,5.0,6,41,Dell,Vostro 3500,21490000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,15.6,1920 x 1080,60,1.98,363.96,249.0,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,yes
125,82FG00P5VN,4.3,77,620,Lenovo,Ideapad 5 15ITL05,21090000.0,Intel,1135G7,8.0,no,NVIDIA GeForce MX450,57.0,,,yes,15.6,1920 x 1080,60,1.66,356.67,233.13,19.9,Windows 10,"Metal, Plastic",2020,yes,yes,yes,no,yes,yes,yes
126,V4I5003W,4.3,21,421,Dell,Vostro 5402,20990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,40.0,256.0,SSD,no,14.0,1920 x 1080,60,1.41,321.3,216.2,17.9,Windows 10,Metal,2020,yes,yes,yes,yes,yes,yes,yes
127,BN334T,2.9,19,582,Asus,VivoBook A515EP,20490000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",2020,no,yes,yes,no,yes,yes,yes
128,20VD003KVN,3.5,12,140,Lenovo,ThinkBook 14 G2 ITL,20390000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,45.0,,,yes,14.0,1920 x 1080,60,1.4,323.0,218.0,17.9,Windows 10,Metal,2020,no,yes,no,yes,yes,yes,yes
129,46M24PA,3.8,50,653,HP,15s fq2556TU,19990000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.592,358.5,242.0,18.0,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,yes
130,P112F001BBL,2.8,8,72,Dell,Inspiron 15 3511,19990000.0,Intel,1135G7,4.0,yes,Intel Iris Xe Graphics,41.0,,,yes,15.6,1920 x 1080,60,1.7,358.5,235.5,18.9,Windows 10,Plastic,2021,no,yes,yes,no,no,yes,yes
131,NX.A2ASV.006,3.1,34,272,Acer,Aspire A514 54 53T8,19790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,48.0,,,yes,14.0,1920 x 1080,60,1.46,328.0,223.0,17.95,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
132,NH.QAYSV.004,4.1,122,1,Acer,Aspire 7 Gaming A715 42G R4ST,19990000.0,AMD,5500U,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,48.0,256.0,SSD,no,15.6,1920 x 1080,60,2.1,363.4,254.5,22.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
133,L12032T,0.0,0,45,Asus,VivoBook A515EA,19690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,,,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",2021,no,yes,yes,no,yes,yes,yes
134,L11169T,3.0,19,355,Asus,VivoBook A515EA,19990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,42.0,,,yes,15.6,1920 x 1080,60,1.8,359.0,235.0,17.9,Windows 10,"Metal, Plastic",2021,no,yes,yes,no,yes,yes,yes
135,70262929,4.0,2,64,Dell,Inspiron 14 5415,19590000.0,AMD,5500U,8.0,yes,AMD Radeon Graphics,54.0,256.0,SSD,no,14.0,1920 x 1080,60,1.44,321.0,212.0,18.0,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
136,EC227T,2.3,7,439,Asus,VivoBook TM420IA,19490000.0,AMD,4700U,8.0,yes,AMD Radeon Graphics,,512.0,SSD,no,14.0,1920 x 1080,60,1.5,324.0,220.0,18.2,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
137,AM439T,5.0,1,221,Asus,VivoBook S433EA,19490000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,50.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.4,324.0,213.0,15.9,Windows 10,Metal,2020,yes,yes,no,no,yes,yes,yes
138,AM889T,2.8,8,157,Asus,VivoBook A415EA,19090000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,42.0,512.0,SSD,no,14.0,1920 x 1080,60,1.4,324.0,215.0,17.9,Windows 10,"Metal, Plastic",2020,no,yes,yes,no,yes,yes,yes
139,P90F005N3501B,2.8,23,375,Dell,Inspiron 3501,18990000.0,Intel,1135G7,4.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,no,15.6,1920 x 1080,60,1.96,363.96,249.0,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,yes
140,P90F005N3501B,2.8,23,375,Dell,Inspiron 3501,18990000.0,Intel,1135G7,4.0,yes,Intel Iris Xe Graphics,42.0,512.0,SSD,no,15.6,1920 x 1080,60,1.96,363.96,249.0,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,yes
141,82FG001PVN,3.7,106,1,Lenovo,IdeaPad Slim 5 15ITL05,18890000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,45.0,512.0,SSD,no,15.6,1920 x 1080,60,1.66,356.67,233.13,17.9,Windows 10,"Metal, Plastic",2020,yes,yes,yes,no,yes,yes,yes
142,46M02PA,3.3,79,888,HP,Pavilion 15 eg0505TU,18790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.677,360.2,234.0,17.9,Windows 10,Metal,2021,no,yes,yes,no,yes,yes,yes
143,BQ186T,5.0,2,295,Asus,VivoBook X515EP,18690000.0,Intel,1135G7,8.0,yes,NVIDIA GeForce MX330,37.0,,,yes,15.6,1920 x 1080,60,1.8,360.2,234.9,19.9,Windows 10,Plastic,2021,no,yes,yes,no,yes,yes,no
144,V4R53500U003W,3.3,9,277,Dell,Vostro 3405,18490000.0,AMD,3500U,8.0,yes,AMD Radeon Vega 8 Graphics,42.0,,,yes,14.0,1920 x 1080,60,1.7,328.7,239.5,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,yes
145,36A35PA,4.2,27,296,HP,340s G7,18090000.0,Intel,1035G1,8.0,yes,Intel UHD Graphics,41.0,,,no,14.0,1920 x 1080,60,1.38,324.0,225.0,17.9,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,yes
146,518V7PA,3.5,4,86,HP,240 G8,18090000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,yes,14.0,1920 x 1080,60,1.426,324.0,225.9,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,no
147,46M27PA,3.6,69,737,HP,15s fq2559TU,17990000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.592,358.5,242.0,18.0,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,yes
148,46M06PA,4.2,160,1,HP,Pavilion 15 eg0507TU,17790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,256.0,SSD,no,15.6,1920 x 1080,60,1.682,360.2,234.0,17.9,Windows 10,Metal,2021,no,yes,yes,no,yes,yes,yes
149,EB637T,4.0,99,876,Asus,VivoBook X415EA,17590000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,37.0,,,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,no
150,EB262T,0.0,0,287,Asus,VivoBook X415EA,17290000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,37.0,,,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,yes
151,518V6PA,4.0,7,160,HP,240 G8,17090000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,yes,14.0,1920 x 1080,60,1.426,324.0,225.9,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,no
152,063VN,4.5,28,1,MSI,Modern 14 B5M,16990000.0,AMD,5500U,8.0,yes,AMD Radeon Graphics Vega 7,39.0,512.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,18.1,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
153,V4R53500U001W,5.0,2,311,Dell,Vostro 3405,16490000.0,AMD,3500U,4.0,yes,AMD Radeon Vega 8 Graphics,42.0,,,yes,14.0,1920 x 1080,60,1.7,328.7,239.5,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,yes
154,4P5G8PA,4.3,4,60,HP,Pavilion 15 eg0541TU,15790000.0,Intel,1125G4,4.0,yes,Intel UHD Graphics,41.0,512.0,SSD,no,15.6,1920 x 1080,60,1.682,360.2,234.0,17.9,Windows 11,Metal,2021,no,yes,yes,no,yes,yes,yes
155,70253899,1.5,5,114,Dell,Vostro 3400,15690000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,42.0,,,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,no,yes,yes
156,V5I3001W,4.4,46,595,Dell,Vostro 3500,15590000.0,Intel,1115G4,,yes,Intel UHD Graphics,42.0,,,yes,15.6,1920 x 1080,60,1.98,364.0,249.0,19.9,Windows 10,Plastic,2020,no,yes,no,yes,no,yes,yes
157,P112F001ABL,3.8,15,150,Dell,Inspiron 15 3511,15290000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,41.0,,,yes,15.6,1920 x 1080,60,1.7,358.5,235.5,18.9,Windows 10,Plastic,2021,no,yes,yes,no,no,yes,yes
158,P90F005N3501C,3.3,9,518,Dell,Inspiron 3501,14990000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,42.0,256.0,SSD,no,15.6,1920 x 1080,60,1.96,363.96,249.0,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,yes
159,Y1N1T3,0.0,0,208,Dell,Inspiron 3505,14990000.0,AMD,3250U,8.0,yes,AMD Radeon Graphics,42.0,256.0,SSD,no,15.6,1920 x 1080,60,1.8,363.9,249.0,19.9,Windows 10,Plastic,2021,no,yes,no,yes,no,yes,yes
160,4P5G9PA,5.0,8,158,HP,Pavilion 15 eg0542TU,14890000.0,Intel,1125G4,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,no,15.6,1920 x 1080,60,1.682,360.2,234.0,17.9,Windows 11,Metal,2021,no,yes,yes,no,yes,yes,yes
161,813VN,4.3,142,2,MSI,Modern 14 B11MOL,14690000.0,Intel,1115G4,8.0,yes,Intel UHD Graphics,39.0,256.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,18.1,Windows 10,Metal,2021,yes,yes,no,no,no,yes,yes
162,2H0N5PA,0.0,0,90,HP,ProBook 430 G8,14590000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,45.0,256.0,SSD,no,13.3,1366 x 768,60,1.28,306.9,208.4,15.9,Windows 10,Metal,2020,yes,yes,no,no,yes,yes,yes
163,EB638T,4.0,76,563,Asus,VivoBook X415EA,14490000.0,Intel,1115G4,4.0,yes,Intel UHD Graphics,37.0,,,yes,14.0,1920 x 1080,60,1.55,325.4,216.0,19.9,Windows 10,Plastic,2020,no,yes,yes,no,yes,yes,no
164,224L1PA,2.6,34,342,HP,340s G7,13890000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,,512.0,SSD,no,14.0,1920 x 1080,60,1.346,324.0,225.0,17.9,Windows 10,Plastic,2020,no,yes,no,no,yes,yes,yes
165,519A8PA,0.0,0,26,HP,240 G8,13590000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.47,324.0,225.9,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,no
166,240Q4PA,3.4,15,408,HP,340s G7,12990000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,,,no,14.0,1920 x 1080,60,1.38,324.0,225.0,17.9,Windows 10,Plastic,2020,no,yes,no,no,yes,yes,yes
167,519A7PA,4.0,2,89,HP,240 G8,12690000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,41.0,256.0,SSD,no,14.0,1920 x 1080,60,1.47,324.0,225.9,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,yes,yes,no
168,2Z6L3PA,0.0,0,117,HP,15s du1105TU,12490000.0,Intel,10110U,4.0,yes,Intel UHD Graphics,41.0,,,yes,15.6,1366 x 768,60,1.78,358.5,242.0,19.9,Windows 11,Plastic,2021,no,yes,no,no,yes,yes,yes
169,NX.HS5SV.00C,3.7,44,667,Acer,Aspire A315 56 308N,11890000.0,Intel,1005G1,4.0,yes,Intel UHD Graphics,,,,yes,15.6,1920 x 1080,60,1.7,363.4,247.5,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,no
170,NX.A7SSV.003,2.5,64,733,Acer,Aspire 3 A314 35 P6JF,9590000.0,Intel,N6000,4.0,yes,Intel UHD Graphics,36.0,,,yes,14.0,1366 x 768,60,1.45,328.0,236.0,19.9,Windows 10,Plastic,2020,no,yes,yes,yes,no,yes,no
